X,Y,HTF_threshold,SLR,TR,Slope_GEBCO_West,Elevation
-76.66620893,34.68055979,0.45720556,10.01488095,1.26248,0.266418,-7
-76.66620893,34.74055979,0.45720556,10.01488095,1.06795,0.7249666,-8
-75.10620893,39.90055979,0.461,10.04464286,2.029,0.0309707,4
-75.10620893,39.96055979,0.461,9.958333333,2.10414,0.1276952,-1
-76.48620893,38.34055979,0.465,10.83025992,0.47998,0.5112374,-11
-76.42620893,38.28055979,0.465,10.83918849,0.452,0.2327945,15
-76.42620893,38.34055979,0.465,10.82728373,0.4527,0.7129621,17
-76.00620893,37.14055979,0.476,10.94345238,0.90826,0.1094978,-4
-76.00620893,37.20055979,0.476,10.94047619,0.86044,0.0309707,8
-75.94620893,37.14055979,0.476,10.91666667,1.36983,0.4847564,4
-77.02620893,38.28055979,0.485,10.14285714,0.514,0.6088486,25
-77.02620893,38.34055979,0.485,10.14285714,0.514,0.2286372,6
-76.60620893,39.24055979,0.48768,9.979166667,0.51392,1.0944082,15
-76.60620893,39.30055979,0.48768,9.961309524,0.532,1.185244,26
-76.57833,39.26667,0.48768,9.961309524,0.51179,0.3941863,-9
-76.48620893,38.94055979,0.48768,10.16400376,0.431,0.440712,8
-76.48156,38.98328,0.48768,10.13424185,0.44167,0.6510935,5
-76.12620893,36.90055979,0.494,10.97321429,0.886,0.2156849,10
-76.095583,36.906611,0.494,10.97321429,0.8779,0.3947942,-2
-76.06620893,36.90055979,0.494,10.97321429,0.63743,0.2743989,5
-76.30620893,37.62055979,0.506,10.9672619,0.42307,0.6365703,-4
-76.24620893,37.62055979,0.506,10.94047619,0.40361,0.2233317,-5
-73.90620893,40.56055979,0.50942,10.33658009,1.64546,0.2327945,-2
-73.885556,40.573611,0.50942,10.33658009,1.71562,0.5346215,-9
-73.84620893,40.56055979,0.50942,10.25622294,1.55067,0.1385049,-7
-76.46444,37.99611,0.51816,10.78561706,0.47444,0.1710407,1
-76.315,37.001944,0.522,11.19642857,0.84925,0.8254731,-9
-76.30620893,37.02055979,0.522,11.19642857,0.85746,0.3255573,-1
-72.34620893,41.16055979,0.52375,10.23241342,1.2029,0.5583144,-30
-72.30666,41.136666,0.52375,10.22943723,0.90881,0.6792085,3
-72.28620893,41.10055979,0.52375,10.2086039,0.92851,0.3158371,-12
-72.28620893,41.16055979,0.52375,10.23241342,1.06718,3.0487151,-19
-72.52620893,40.86055979,0.52674,10.4672619,0.92975,0.4598814,5
-72.503056,40.850556,0.52674,10.4672619,0.96678,0.339969,-1
-72.46620893,40.86055979,0.52674,10.4672619,0.99951,0.0619414,-4
-76.30620893,36.96055979,0.532,11.21428571,0.83688,0.0875983,-2
-70.72620893,42.18055979,0.53637,10.2827381,2.962,0.5748188,14
-70.72620893,42.24055979,0.53637,10.2827381,2.94726,0.1983084,-23
-70.72,42.199444,0.53637,10.2827381,2.96883,0.2855333,6
-70.66620893,42.18055979,0.53637,10.2827381,2.96005,0.3065913,-19
-76.24620893,39.18055979,0.538,10.20535714,0.523,0.3112485,8
-76.24620893,39.24055979,0.538,10.19940476,0.52184,0.1094978,-7
-76.245,39.21333,0.538,10.20535714,0.52847,0.8684944,4
-77.08620893,38.34055979,0.54864,10.00892857,0.461,0.3420784,43
-77.0634,34.6677,0.54864,10.05654762,0.55738,1.0294027,1
-77.0367,38.32,0.54864,10.14285714,0.5623,0.6820265,-5
-76.47833,37.22667,0.54864,10.90178571,0.78328,0.6170628,-13
-76.791453,37.220139,0.549,10.45238095,0.67054,0.5514005,-4
-76.78620893,37.20055979,0.549,10.45238095,0.67944,0.3158371,-3
-76.78620893,37.26055979,0.549,10.32738095,0.699,0.4020164,10
-76.3017,36.7783,0.551,10.73511905,0.97576,0.1179327,-11
-76.24620893,36.78055979,0.551,10.69345238,0.961,0.2846923,14
-75.76620893,36.18055979,0.553,10.85673235,0,0.1667818,1
-75.74669,36.18331,0.553,10.85673235,1.124,0.5408638,-3
-75.70620893,36.18055979,0.553,10.85673235,1.12275,0.1116663,-17
-74.08620893,40.56055979,0.55382,10.32589286,1.56678,0.1094978,-3
-75.58620893,35.82055979,0.554,10.70535714,0.18653,0.0979378,-4
-75.52620893,35.76055979,0.554,10.70833333,0.55668,0.305023,1
-75.52620893,35.82055979,0.554,10.71130952,1.06462,0.0218996,-11
-76.12620893,37.02055979,0.555,11.10119048,0.88061,0.0309707,-6
-76.06620893,37.02055979,0.555,11.10119048,0.94531,0.1710407,-9
-76.06620893,38.22055979,0.560832,10.91369048,0.57653,0.1094978,-4
-76.0383,38.22,0.560832,10.94940476,0.63595,0.1313973,-1
-76.00620893,38.22055979,0.560832,10.95238095,0.73438,0,-3
-76.45167,38.31667,0.56388,10.84514087,0.45403,0.6365703,-9
-76.0683,38.5733,0.56388,10.56547619,0.61888,0.4717209,4
-74.80620893,40.14055979,0.569,10.19940476,2.488,0.8208132,5
-74.7517,40.1367,0.569,10.19642857,2.55823,0.0979378,3
-74.74620893,40.14055979,0.569,10.19345238,2.56614,0.1871095,7
-76.08333,37.03333,0.569976,11.10119048,0.91811,0.1313973,-13
-76.29,37.6162,0.57912,10.95535714,0.4189,0.667099,3
-75.82620893,39.54055979,0.57912,10.02083333,0.848,0.5928876,15
-75.81,39.5267,0.57912,10.02083333,0.98183,0.2708809,4
-75.70620893,35.22055979,0.58,10.54166667,0.18892,0.1548531,-2
-75.70417,35.20864,0.58,10.54166667,0.17704,0.1883867,3
-71.44620893,41.58055979,0.583127042,9.598214286,1.25314,0.6532992,9
-71.411,41.5868,0.583127042,9.598214286,1.25862,1.0467204,-6
-71.38620893,41.58055979,0.583127042,9.598214286,1.25701,0.0692525,-9
-74.44620893,39.36055979,0.585216,10.59259544,1.3553,0.1983084,2
-74.4183,39.355,0.585216,10.59259544,1.40213,1.0478648,-2
-74.38620893,39.36055979,0.585216,10.59259544,1.37637,0.0309707,-6
-76.48620893,37.20055979,0.588,10.90178571,0.789,0.1116663,24
-76.48620893,37.26055979,0.588,10.88095238,0.7967,0.2627932,8
-70.66620893,42.60055979,0.5882,9.797619048,2.91562,0.6041046,-7
-70.660556,42.610278,0.5882,9.797619048,2.917,0.9170935,3
-70.60620893,42.60055979,0.5882,10.17261905,2.88217,0.440712,-28
-76.00620893,35.10055979,0.59,10.51785714,0.33919,0.048969,-2
-75.987222,35.115278,0.59,10.51785714,0.32431,0.1751961,2
-75.94620893,35.10055979,0.59,10.52083333,1.07422,0.5540033,-1
-75.76620893,37.92055979,0.593,10.94047619,0.7639,0,-3
-75.7275,37.9188,0.593,10.91964286,0.7785,0.1469066,1
-75.70620893,37.92055979,0.593,10.91964286,0.784,0.0437992,0
-75.10620893,38.34055979,0.59436,10.72280378,0.417,0.2368789,3
-75.10620893,38.58055979,0.59436,10.71982759,0.7823,0.2855333,1
-75.10620893,38.64055979,0.59436,10.71982759,0.60252,0.0902942,-1
-75.10620893,38.70055979,0.59436,10.73768473,1.352,0.3073724,9
-75.09167,38.32833,0.59436,10.86904762,0.77278,0.1385049,-5
-75.04620893,38.34055979,0.59436,10.73768473,1.17799,0.07896,-11
-72.76620893,40.80055979,0.5968,10.47321429,0.745,0.3611724,8
-72.7508,40.7881,0.5968,10.47321429,0.74432,0.2065994,-3
-72.70620893,40.80055979,0.5968,10.47321429,0.73904,0.3462586,4
-76.30620893,36.78055979,0.600456,10.73511905,0.9726,0.092912,-12
-75.57331,39.55831,0.600456,10.00892857,1.77303,0.0979378,5
-75.98844,37.16519,0.6096,10.94047619,0.90139,0.845274,-5
-76.610556,36.056389,0.61,10.85714286,0,0.6384507,5
-76.60620893,36.06055979,0.61,10.85714286,0.138,0.0979378,7
-76.314444,35.018333,0.61,10.23809524,0,0.3135512,3
-76.30620893,34.98055979,0.61,10.23809524,0,0.0619414,3
-76.30620893,35.04055979,0.61,10.23809524,0,0.048969,-6
-76.42620893,35.40055979,0.611,9.964285714,0.15,0.0619414,-3
-76.42620893,35.46055979,0.611,9.973214286,0.1522,0.1276952,3
-76.3998,35.43518,0.611,9.973214286,0.15127,0.5710524,6
-76.36620893,35.40055979,0.611,9.973214286,0.15,0.0218996,3
-76.36620893,35.46055979,0.611,10.63095238,0.152,0.1579198,3
-76.42620893,37.38055979,0.616,10.81547619,0.75608,0.9696907,9
-76.4254,37.3793,0.616,10.81547619,0.75599,0.9696907,9
-70.910278,41.62,0.61775,10.02380952,1.21105,0.4837662,-4
-70.90620893,41.58055979,0.61775,10.02380952,1.19788,0.0437992,-7
-70.90620893,41.64055979,0.61775,10.01488095,1.2194,0.3824542,3
-71.86620893,41.28055979,0.61855,10.17261905,0.90133,0.631655,-36
-71.86620893,41.34055979,0.61855,10.10119048,0.9094,0.7229797,7
-71.8583,41.3106,0.61855,10.17261905,0.90545,0.7834546,8
-75.94620893,37.26055979,0.62,10.91666667,0.695,0.2637041,12
-75.94620893,37.32055979,0.62,10.91666667,0.695,0.07896,10
-75.923546,37.288969,0.62,10.91666667,1.5135,0.3880557,3
-75.88620893,37.26055979,0.62,10.91666667,0.768,0,0
-75.88620893,37.32055979,0.62,10.91666667,1.40892,0.1276952,-5
-72.94620893,41.28055979,0.630936,10.01785714,2.055,0.1179327,9
-72.9083,41.2833,0.630936,10.01785714,2.0511,3.0473826,-40
-72.88620893,41.28055979,0.630936,10.01785714,2.054,1.4671149,15
-74.02620893,40.68055979,0.63524,10.20138889,1.59575,0.941852,-10
-74.02620893,40.74055979,0.63524,10.18353175,1.55083,1.2729836,22
-74.0142,40.7006,0.63524,10.18353175,1.55932,0.6746041,-7
-73.96620893,40.68055979,0.63524,10.17162698,1.458,0.7458309,28
-70.2467,43.6567,0.63904,9.047619048,3.01856,1.2480789,1
-70.24620893,43.62055979,0.63904,9.047619048,2.943,0.658781,25
-70.24620893,43.68055979,0.63904,9.047619048,3.00859,0.6792085,-5
-74.96,38.96833,0.64008,10.86863711,1.67281,0.4572671,0
-74.92620893,38.94055979,0.64008,10.87458949,1.637,0.2358644,5
-74.92620893,39.00055979,0.64008,10.87458949,1.761,0.0309707,11
-74.0094,40.4669,0.64008,10.3008658,1.59231,0.4313637,-3
