X,Y,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK,SLR_predicted,mm/year
-78.915706,33.659118,0.323601,160974096,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922,19.638461538461534,9.35164835164835
-78.9125558,33.65217268,0.323601,160974096,0.0363701,102079.9609,101970.2422,300.5403137,-0.782922,19.638461538461534,9.35164835164835
-78.837493,33.724895,0.3202199,295960800,0.0363651,102093.2734,101981.6563,300.5549622,-0.7815261,19.5,9.285714285714285
-78.749437,33.781082,0.324616,269049952,0.0363507,102088.0625,101966.7266,300.5554199,-0.7205322,19.515384615384612,9.293040293040294
-78.662667,33.820516,0.324616,269049952,0.0363483,102088.0625,101966.7266,300.5554199,-0.7197132,19.515384615384612,9.293040293040294
-78.552497,33.848328,0.323244,387994496,0.0363456,102079.8281,101978.9219,300.5741272,-0.7165591,19.653846153846157,9.358974358974358
-78.470358,33.877394,0.3285271,520814176,0.0363426,102064.8516,101975.9375,300.5455322,-0.7165591,19.99230769230769,9.520146520146518
-78.364542,33.902748,0.3295944,638527488,0.0363379,102066.625,101990.1875,300.5756836,-0.657355,19.99230769230769,9.520146520146518
-78.256984,33.914,0.3315995,749134976,0.0363333,102071.5703,102001.3672,300.6066284,-0.6590913,19.99230769230769,9.520146520146518
-78.144859,33.912584,0.3387261,1015578880,0.0363315,102075.3828,101987.5781,300.6483765,-0.6608726,20.0,9.523809523809524
-78.009564,33.865287,0.3418943,1246722688,0.0363307,102070.0703,101984.1641,300.6507874,-0.6625237,20.0,9.523809523809524
-77.959065,33.861555,0.3418943,1246722688,0.0363307,102070.0703,101984.1641,300.6507874,-0.6630597,20.0,9.523809523809524
-77.924659,33.954881,0.3484994,1344346496,0.0363278,102079.5469,101982.6641,300.594635,-0.6657519,19.661538461538463,9.362637362637363
-77.887726,34.043335,0.3484994,1344346496,0.036326,102079.5469,101982.6641,300.594635,-0.6823204,19.661538461538463,9.362637362637363
-77.839917,34.143997,0.3536335,1390871168,0.0363252,102066.7188,102000.625,300.5825806,-0.6829772,20.0,9.523809523809524
-77.78177696,34.20907179,0.3570983,1224206464,0.0363252,102060.8047,102004.2734,300.5949097,-0.6829772,20.0,9.523809523809524
-77.766246,34.24322,0.3570983,1224206464,0.0363228,102060.8047,102004.2734,300.5949097,-0.6287603,19.953846153846158,9.501831501831502
-77.69352,34.315646,0.3633739,1236920704,0.0363252,102068.5156,102014.4063,300.5716553,-0.6287603,20.0,9.523809523809524
-77.603881,34.383759,0.3663043,1235198208,0.0363262,102061.1172,102009.2188,300.5310059,-0.6220579,20.0,9.523809523809524
-77.517303,34.440876,0.365729,1354062976,0.0363273,102053.3438,102008.6016,300.4815063,-0.6153927,20.0,9.523809523809524
-77.433282,34.48572,0.3696904,1317994624,0.036329,102061.9609,101982.6172,300.441925,-0.6119238,20.0,9.523809523809524
-77.344865,34.525359,0.3683153,1460734336,0.0363254,102060.5078,101988.7734,300.4637756,-0.6081962,20.0,9.523809523809524
-77.322884,38.46543,0.1135671,-708212672,0.0358871,102028.5391,101532.6563,299.2919922,-0.9333622,21.0,10.0
-77.310786,38.398187,0.1232586,-651249728,0.0359082,102034.8438,101545.6484,299.3169556,-0.9301283,21.0,10.0
-77.267262,34.571554,0.3692115,1314534784,0.0363254,102073.9219,101968.1797,300.4343262,-0.6323232,20.0,9.523809523809524
-77.267081,38.499047,0.1135671,-708212672,0.0358871,102028.5391,101532.6563,299.2919922,-0.9364931,21.0,10.0
-77.25137,38.33168,0.097589,-228461520,0.0359082,102025.6563,101558.4375,299.2611084,-0.9312282,21.0,10.0
-77.159985,34.625984,0.3679606,1393679872,0.0363206,102073.5469,101980.4766,300.5202942,-0.6254163,19.953846153846158,9.501831501831502
-77.142964,38.363863,0.1245573,-465212960,0.0359054,102037.6641,101708.9531,299.2592468,-0.9365665,21.015384615384612,10.007326007326007
-77.123325,38.410646,0.1245573,-465212960,0.0359054,102037.6641,101708.9531,299.2592468,-0.9365665,21.015384615384612,10.007326007326007
-77.101084,34.674577,0.3724629,1504028928,0.0363236,102068.3047,101976.7031,300.4992676,-0.6005424,19.953846153846158,9.501831501831502
-77.05562,38.397103,0.1245573,-465212960,0.0359054,102037.6641,101708.9531,299.2592468,-0.9392236,21.015384615384612,10.007326007326007
-77.048342,34.656976,0.3715021,1649104640,0.0363268,102058.1797,102002.625,300.5310059,-0.5405946,20.0,9.523809523809524
-77.023152,38.385183,0.1251672,-368153408,0.0359076,102050.7891,101755.8984,299.2295837,-0.9392236,21.00769230769231,10.003663003663004
-77.010794,38.291592,0.1356618,-311964032,0.035921,102049.2266,101754.6484,299.1903076,-0.9374039,21.00769230769231,10.003663003663004
-76.993691,35.497079,0.3935674,1819107072,0.0362495,102070.2734,101918.1719,300.4764404,-0.6839317,20.56153846153846,9.79120879120879
-76.993312,35.072828,0.3760696,1823998080,0.0362874,102065.6016,101954.6328,300.4449768,-0.595408,19.96153846153846,9.505494505494504
-76.988765,34.674197,0.3715021,1649104640,0.0363268,102058.1797,102002.625,300.5310059,-0.5405946,20.0,9.523809523809524
-76.985012,35.025771,0.371622,1772183936,0.0362874,102063.8438,101963.375,300.4808655,-0.6018573,19.96153846153846,9.505494505494504
-76.980233,34.702335,0.3715021,1649104640,0.0363268,102058.1797,102002.625,300.5310059,-0.5405946,20.0,9.523809523809524
-76.962375,38.230093,0.1167317,66184008,0.035921,102047.2656,101747.9766,299.1941223,-0.9172667,21.00769230769231,10.003663003663004
-76.950973,35.440439,0.3902231,1827160832,0.0362495,102072.5,101929.5547,300.0876465,-0.6655917,20.33076923076923,9.681318681318679
-76.945131,38.331351,0.1363877,-212327072,0.0359138,102063.9375,101782.1719,299.165863,-0.9401,20.884615384615383,9.945054945054943
-76.937975,34.678169,0.3697061,1830429312,0.0363307,102058.375,102024.1641,300.5569458,-0.5359594,20.0,9.523809523809524
-76.890381,35.015601,0.3767487,1951233152,0.0363009,102071.5703,101992.2813,300.4765015,-0.5986773,19.96153846153846,9.505494505494504
-76.880902,34.725828,0.3697061,1830429312,0.0363213,102058.375,102024.1641,300.5569458,-0.5359594,19.953846153846158,9.501831501831502
-76.87899,34.686931,0.3697061,1830429312,0.0363307,102058.375,102024.1641,300.5569458,-0.5359594,20.0,9.523809523809524
-76.876757,35.45902,0.3982567,2023064192,0.0362535,102089.3672,101961.8047,300.4226685,-0.6655917,20.29230769230769,9.663003663003662
-76.874791,34.947795,0.3851458,1896378112,0.0363009,102073.1484,102001.1953,300.5387268,-0.5986773,19.96153846153846,9.505494505494504
-76.860315,35.425117,0.3968671,2031865856,0.0362535,102089.8203,101969.4766,300.0725708,-0.6416309,20.06153846153846,9.553113553113553
-76.859045,38.171028,0.1474921,152726832,0.0359433,102061.625,101784.9844,299.1651001,-1.0175174,20.884615384615383,9.945054945054943
-76.838177,38.28195,0.137103,477906304,0.0359298,102080.6172,101804.2813,299.1417236,-0.9427079,21.06153846153846,10.02930402930403
-76.828624,34.692776,0.3677437,2035403648,0.0363352,102060.2109,102039.6641,300.6118164,-0.5310595,20.0,9.523809523809524
-76.781134,34.975204,0.3783279,2141760640,0.0363053,102080.5938,102020.1172,300.4923706,-0.5685977,19.630769230769232,9.347985347985349
-76.770155,35.385153,0.4008592,2250141952,0.0362676,102100.6484,102002.9844,300.0836487,-0.6416309,20.053846153846155,9.54945054945055
-76.765699,34.697337,0.3677437,2035403648,0.0363352,102060.2109,102039.6641,300.6118164,-0.546649,20.0,9.523809523809524
-76.760671,34.720506,0.3677437,2035403648,0.0363249,102060.2109,102039.6641,300.6118164,-0.546649,20.0,9.523809523809524
-76.752859,34.920372,0.3860008,2083300736,0.0363053,102076.2891,102021.7734,300.5235901,-0.5670317,19.96153846153846,9.505494505494504
-76.745972,38.157065,0.149217,50315100,0.0359497,102089.8828,101839.8438,299.1037903,-1.0345167,20.846153846153847,9.926739926739927
-76.745656,37.815099,0.1788735,517561280,0.0359967,102098.7266,101830.9531,299.1414795,-1.0919034,21.07692307692308,10.036630036630036
-76.743712,35.426823,0.4048678,2482614784,0.0362653,102106.0625,102025.7188,300.4294739,-0.6502838,20.284615384615385,9.659340659340659
-76.721384,38.240415,0.149217,50315100,0.0359364,102089.8828,101839.8438,299.1037903,-0.9360628,20.846153846153847,9.926739926739927
-76.698213,34.694071,0.3656863,2236653568,0.0363401,102067.5,102045.6094,300.6526184,-0.546649,20.0,9.523809523809524
-76.68031675,34.70273859,0.3656863,2236653568,0.0363401,102067.5,102045.6094,300.6526184,-0.546649,20.0,9.523809523809524
-76.678611,35.029835,0.3796827,2341189376,0.0363008,102084.4063,102029.5938,300.5140686,-0.6561449,19.5,9.285714285714285
-76.67773,35.348292,0.3993925,2463630592,0.0362739,102101.3047,102027.3594,300.1915894,-0.6502838,20.06153846153846,9.553113553113553
-76.66758979,34.69774992,0.3656863,2236653568,0.0363401,102067.5,102045.6094,300.6526184,-0.546649,20.0,9.523809523809524
