X,Y,SLR,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK
-87.17747315,30.40485975,18,0.1399457,6732732416,0.0362996,102095.5313,101948.9375,302.2400208,-0.6615947
-87.17747315,30.36485975,18,0.1399457,6732732416,0.0362996,102095.5313,101948.9375,302.2400208,-0.6615947
-86.01747315,30.00485975,18,0.1196875,6006474752,0.0362959,102038,101984.7578,302.2325745,-0.688018
-86.01747315,29.96485975,18,0.1196875,6006474752,0.0362959,102038,101984.7578,302.2325745,-0.688018
-86,30,18,0.1196875,6006474752,0.0362959,102038,101984.7578,302.2325745,-0.688018
-85.97747315,30.00485975,18,0.1196875,6006474752,0.0362959,102038,101984.7578,302.2325745,-0.688018
-85.97747315,29.96485975,18,0.1196875,6006474752,0.0362959,102038,101984.7578,302.2325745,-0.688018
-85.69747315,30.16485975,18,0.1310781,5715314688,0.0362935,102050.4844,101921.6953,302.2222595,-0.6970585
-85.69747315,30.12485975,18,0.1262689,5669293056,0.0362935,102049.3594,101945.2578,302.2118225,-0.6925997
-85.67,30.15,18,0.1310781,5715314688,0.0362935,102050.4844,101921.6953,302.2222595,-0.6970585
-85.65747315,30.16485975,18,0.1310781,5715314688,0.0362935,102050.4844,101921.6953,302.2222595,-0.6948446
-85.65747315,30.12485975,18,0.1262689,5669293056,0.0362935,102049.3594,101945.2578,302.2118225,-0.6917887
-85.01747315,29.72485975,18,0.1108488,4959329792,0.0362963,102060.6094,102019.75,302.6083984,-0.6961101
-84.98,29.73,18,0.1108488,4959329792,0.0362963,102060.6094,102019.75,302.6083984,-0.6961101
-84.97747315,29.76485975,18,0.1142646,4927499264,0.0362963,102062.2813,102002.1797,302.6078796,-0.683473
-84.97747315,29.72485975,18,0.1108488,4959329792,0.0362963,102060.6094,102019.75,302.6083984,-0.6961101
-84.93747315,29.72485975,18,0.110822,4824319488,0.0362972,102065.1484,102022.5,302.6117859,-0.6950995
-84.01747315,30.00485975,18,0.1153087,2890438144,0.0362943,102058.625,101923.1953,302.5914612,-0.5889552
-84.01747315,29.96485975,18,0.1153087,2890438144,0.0362943,102058.625,101923.1953,302.5914612,-0.5889552
-84,30,18,0.1153087,2890438144,0.0362943,102058.625,101923.1953,302.5914612,-0.5889552
-83.97747315,30.00485975,18,0.1153087,2890438144,0.0362943,102058.625,101923.1953,302.5914612,-0.5889552
-83.97747315,29.96485975,18,0.1153087,2890438144,0.0362943,102058.625,101923.1953,302.5914612,-0.5889552
-83.05747315,29.16485975,18,0.1030192,1525795072,0.0363069,102022.4688,101949.4453,302.6798401,-0.5543001
-83.05747315,29.12485975,18,0.1033102,1546069248,0.0363069,102020.1484,101960.0859,302.6072693,-0.5526935
-83.03,29.14,18,0.1052096,1462082688,0.0363078,102019.5469,101947.4844,302.5947876,-0.5543001
-83.01747315,29.16485975,18,0.1051176,1440684672,0.0363078,102022.6875,101935.6641,302.6844177,-0.5543001
-83.01747315,29.12485975,18,0.1052096,1462082688,0.0363078,102019.5469,101947.4844,302.5947876,-0.5526935
-82.85747315,28.00485975,20,0.1165531,1926718720,0.0363366,101994.4844,101948.5313,302.7024841,-0.4910353
-82.85747315,27.96485975,20,0.1165531,1926718720,0.0363366,101994.4844,101948.5313,302.7024841,-0.4910353
-82.83,27.98,20,0.1170614,1914398208,0.0363371,101994.0859,101949.8203,302.9367065,-0.4910353
-82.81747315,28.00485975,20,0.1170614,1914398208,0.0363371,101994.0859,101949.8203,302.9367065,-0.4910353
-82.81747315,27.96485975,20,0.1170614,1914398208,0.0363371,101994.0859,101949.8203,302.9367065,-0.4910353
-82.65747315,27.76485975,20,0.1186138,1997420672,0.036342,101988.9609,101953.7656,303.1243896,-0.5244173
-82.65747315,27.72485975,20,0.1190341,2005262848,0.036342,101986.8828,101957.5781,303.1204834,-0.5256568
