X,Y,SLR,OC_USA_EBK,GH_USA_EBK,SALT_USA_EBK,MSLP_USA_EBK,SP_USA_EBK,SST_USA_EBK,VLM_shcua_EBK
-76.29747315,36.96485975,13,0.3513349,1653344640,0.0360969,102093.0703,101975.2813,300.2130127,-1.1099647
-76.29747315,36.92485975,13,0.3708491,1703661696,0.0360969,102074.4688,101953.7578,300.2669983,-1.0979667
-76.29,36.82,13,0.3873993,1760944512,0.0361078,102053.2422,101934.0859,300.4127808,-1.0990584
-76.25747315,36.84485975,13,0.3873993,1760944512,0.0361078,102053.2422,101934.0859,300.4127808,-1.1131754
-76.25747315,36.80485975,13,0.3873993,1760944512,0.0361221,102053.2422,101934.0859,300.4127808,-1.1033536
-76.13747315,37.00485975,13,0.3675668,1746201088,0.0361099,102053.2344,101970.1016,299.9619446,-1.114444
-76.13747315,36.96485975,13,0.3675668,1746201088,0.0361099,102053.2344,101970.1016,299.9619446,-1.114444
-76.11,36.97,13,0.3675668,1746201088,0.0361099,102053.2344,101970.1016,299.9619446,-1.114444
-76.09747315,38.60485975,12,0.1104489,1194133888,0.0359381,102053.8438,101886.6641,298.6387634,-1.0580087
-76.09747315,38.56485975,12,0.1104489,1194133888,0.0359381,102053.8438,101886.6641,298.6387634,-1.0580087
-76.09747315,37.00485975,13,0.3675668,1746201088,0.0361099,102053.2344,101970.1016,299.9619446,-1.114444
-76.09747315,36.96485975,13,0.3675668,1746201088,0.0361099,102053.2344,101970.1016,299.9619446,-1.114444
-76.07,38.57,12,0.1104489,1194133888,0.0359381,102053.8438,101886.6641,298.6387634,-1.0580087
-76.05747315,40.00485975,11,-0.0012838,-683735360,0.0357395,102063.4453,101358.7344,297.6681519,-0.858861
-76.05747315,38.60485975,12,0.1104489,1194133888,0.0359381,102053.8438,101886.6641,298.6387634,-1.036128
-76.05747315,38.56485975,12,0.1104489,1194133888,0.0359381,102053.8438,101886.6641,298.6387634,-1.036128
-76.05747315,36.96485975,13,0.3675668,1746201088,0.0361099,102053.2344,101970.1016,299.9619446,-1.1157364
-76.01747315,36.00485975,12,0.473775,2932183808,0.0362583,102028.0938,101963.3047,300.54953,-0.9394006
-76.01747315,35.96485975,12,0.473775,2932183808,0.0362583,102028.0938,101963.3047,300.54953,-0.9394006
-76.01747315,34.00485975,10,0.298421,6398424064,0.036468,102012.7813,101993.625,301.5306396,-0.6063554
-76.01747315,33.96485975,10,0.298421,6398424064,0.036468,102012.7813,101993.625,301.5306396,-0.6063554
-76.01747315,40.00485975,11,-0.0000734,-594179840,0.0357369,102065.9219,101381.1016,297.5969849,-0.858861
-76.01747315,39.96485975,11,-0.0000734,-594179840,0.0357369,102065.9219,101381.1016,297.5969849,-0.858861
-76.01747315,38.56485975,12,0.100093,1301029120,0.0359446,102052.0938,101882.5,298.5153503,-1.036128
-76.01747315,38.00485975,12,0.1837282,1424631936,0.0360164,102091.5313,101933.6875,298.8353577,-1.2136075
-76.01747315,37.96485975,12,0.1837282,1424631936,0.0360164,102091.5313,101933.6875,298.8353577,-1.2136075
-76.01747315,37.16485975,12,0.3298086,1246974080,0.0360974,102044.0938,101977.2422,299.3779907,-1.1138096
-76.01747315,37.12485975,12,0.3539912,1307796352,0.0360974,102041.8047,101971.8203,299.5744019,-1.1147611
-76,40,11,-0.0000734,-594179840,0.0357369,102065.9219,101381.1016,297.5969849,-0.858861
-76,38,12,0.1837282,1424631936,0.0360164,102091.5313,101933.6875,298.8353577,-1.2136075
-76,36,12,0.473775,2932183808,0.0362583,102028.0938,101963.3047,300.54953,-0.9394006
-76,34,10,0.298421,6398424064,0.036468,102012.7813,101993.625,301.5306396,-0.6063554
-75.99,37.16,12,0.3298086,1246974080,0.0360974,102044.0938,101977.2422,299.3779907,-1.1138096
-75.97747315,36.00485975,12,0.473775,2932183808,0.0362583,102028.0938,101963.3047,300.54953,-0.9394006
-75.97747315,35.96485975,12,0.473775,2932183808,0.0362583,102028.0938,101963.3047,300.54953,-0.9394006
-75.97747315,34.00485975,10,0.298421,6398424064,0.036468,102012.7813,101993.625,301.5306396,-0.6063554
-75.97747315,33.96485975,10,0.298421,6398424064,0.036468,102012.7813,101993.625,301.5306396,-0.6063554
-75.97747315,40.00485975,11,-0.0000734,-594179840,0.0357369,102065.9219,101381.1016,297.5969849,-0.858861
-75.97747315,39.96485975,11,-0.0000734,-594179840,0.0357369,102065.9219,101381.1016,297.5969849,-0.858861
-75.97747315,38.00485975,12,0.1837282,1424631936,0.0360164,102091.5313,101933.6875,298.8353577,-1.2136075
-75.97747315,37.96485975,12,0.1837282,1424631936,0.0360164,102091.5313,101933.6875,298.8353577,-1.2136075
-75.97747315,37.16485975,12,0.3298086,1246974080,0.0360974,102044.0938,101977.2422,299.3779907,-1.1138096
-75.97747315,37.12485975,12,0.3539912,1307796352,0.0360974,102041.8047,101971.8203,299.5744019,-1.1147611
-75.93747315,37.16485975,12,0.3365709,1354416640,0.0361102,102030.8438,101972.5,299.1592102,-1.1534685
-75.77747315,36.20485975,12,0.4969067,2564271104,0.0362426,101997.125,101958.8906,300.29422,-0.9511417
-75.77747315,36.16485975,12,0.4969067,2564271104,0.0362426,101997.125,101958.8906,300.29422,-0.9511417
-75.75,36.18,12,0.4969067,2564271104,0.0362426,101997.125,101958.8906,300.29422,-0.9528809
-75.73747315,36.20485975,12,0.5067649,2660522752,0.036252,101998.1016,101961.0547,300.1864014,-0.9528809
-75.73747315,36.16485975,12,0.5067649,2660522752,0.036252,101998.1016,101961.0547,300.1864014,-0.9528809
-75.65747315,35.24485975,12,0.4112574,4241207040,0.0364085,102006.1172,101961.0547,300.1629944,-0.815236
-75.65747315,35.20485975,12,0.4112574,4241207040,0.0364145,102006.1172,101961.0547,300.1629944,-0.8125799
-75.64,35.22,12,0.4105307,4263651328,0.0364222,102010.7422,101960.8594,300.1482544,-0.8125799
-75.61747315,35.24485975,12,0.4105307,4263651328,0.0364222,102010.7422,101960.8594,300.1482544,-0.815236
-75.61747315,35.20485975,12,0.4105307,4263651328,0.0364271,102010.7422,101960.8594,300.1482544,-0.8125799
-75.61747315,39.56485975,11,0.0255469,215686816,0.0358288,102063.1094,101693.3047,297.4073181,-0.9992938
-75.57747315,39.56485975,11,0.0255469,215686816,0.0358288,102063.1094,101693.3047,297.4073181,-0.9992938
-75.57747315,39.52485975,11,0.0315702,324286432,0.0358288,102066.3125,101680.1641,297.4211121,-1.037866
-75.57,39.56,11,0.0255469,215686816,0.0358288,102063.1094,101693.3047,297.4073181,-0.9992938
-75.53747315,39.56485975,11,0.0267726,320122240,0.0358221,102056.3281,101700.0625,297.2877502,-1.0286173
-75.53747315,39.52485975,11,0.0327593,436034752,0.0358221,102056.3359,101765.4922,297.3273926,-1.0203148
-75.17747315,39.92485975,11,0.0140233,488759136,0.0357783,102065.7422,101504.0078,296.6964722,-0.8673735
-75.14,39.93,11,0.0158651,563755072,0.0357789,102071.7109,101450.0938,296.6594849,-0.8457814
-75.13747315,39.96485975,11,0.0118498,344042848,0.0357789,102069.8516,101426.5469,296.6439514,-0.8250186
-75.13747315,39.92485975,11,0.0158651,563755072,0.0357789,102071.7109,101450.0938,296.6594849,-0.8457814
-75.13747315,38.80485975,12,0.1001374,2138588928,0.0359723,102061.4063,101903.8828,296.7276917,-1.0234586
-75.13747315,38.76485975,12,0.1001374,2138588928,0.0359723,102061.4063,101903.8828,296.7276917,-1.0234586
-75.12,38.78,12,0.1001374,2138588928,0.0359723,102061.4063,101903.8828,296.7276917,-1.0234586
-75.09747315,39.92485975,11,0.0158651,563755072,0.0357789,102071.7109,101450.0938,296.6594849,-0.8457814
-75.09747315,38.80485975,12,0.1001374,2138588928,0.0359723,102061.4063,101903.8828,296.7276917,-1.0234586
-75.09747315,38.76485975,12,0.1001374,2138588928,0.0359723,102061.4063,101903.8828,296.7276917,-1.0234586
-74.97747315,39.00485975,13,0.0826701,1966299392,0.0359459,102071.9063,101892.6172,296.7880859,-0.9618801
-74.97747315,38.96485975,13,0.0826701,1966299392,0.0359459,102071.9063,101892.6172,296.7880859,-0.9618801
-74.96,38.97,13,0.0826701,1966299392,0.0359459,102071.9063,101892.6172,296.7880859,-0.9305959
-74.93747315,39.00485975,13,0.0817937,2157845248,0.035953,102069.4375,101894.8125,296.7653198,-0.9305959
-74.93747315,38.96485975,13,0.0817937,2157845248,0.035953,102069.4375,101894.8125,296.7653198,-0.9305959
-74.45747315,39.36485975,13,0.0518852,1830664320,0.0359127,102050.1172,101851.2031,296.7155762,-0.7052481
-74.45747315,39.32485975,13,0.0597286,1980301952,0.0359127,102052.9375,101863.0703,296.7972717,-0.7248149
-74.42,39.35,13,0.0533039,1894689920,0.0359191,102048.3281,101851.1641,296.7792358,-0.7052481
-74.41747315,39.36485975,13,0.0533039,1894689920,0.0359191,102048.3281,101851.1641,296.7792358,-0.7052481
-74.41747315,39.32485975,13,0.0612762,2169040128,0.0359191,102046.9297,101891.2969,296.8385925,-0.7248149
-74.37747315,39.36485975,13,0.0533039,1894689920,0.0359191,102048.3281,101851.1641,296.7792358,-0.7052481
-74.37747315,39.32485975,13,0.0612762,2169040128,0.0359191,102046.9297,101891.2969,296.8385925,-0.7248149
-74.17747315,40.64485975,12,0.0233024,600518336,0.0357553,102068.2656,101447.2109,296.5420227,-0.6539142
-74.14,40.64,12,0.0263755,717712448,0.0357589,102060.0859,101590.5234,296.5379333,-0.6901811
-74.13747315,40.68485975,12,0.0240049,1098090496,0.0357589,102064.1172,101420.6797,296.1801758,-0.6901811
-74.13747315,40.64485975,12,0.0263755,717712448,0.0357589,102060.0859,101590.5234,296.5379333,-0.6901811
-74.13747315,40.60485975,12,0.0263755,717712448,0.0357643,102060.0859,101590.5234,296.5379333,-0.6887839
-74.09747315,40.64485975,12,0.0263755,717712448,0.0357589,102060.0859,101590.5234,296.5379333,-0.6901811
-74.05747315,40.72485975,12,0.0240049,1098090496,0.035747,102064.1172,101420.6797,296.1801758,-0.6989745
-74.05747315,40.68485975,12,0.0240049,1098090496,0.0357589,102064.1172,101420.6797,296.1801758,-0.6989745
-74.05747315,40.48485975,13,0.0281989,803867968,0.0357694,102057.6875,101617.0234,296.5673218,-0.7196642
-74.05747315,40.44485975,13,0.029515,904991168,0.0357694,102061.0781,101674.8672,296.5630798,-0.7196642
-74.05747315,40.00485975,13,0.0325434,1247537152,0.0358364,102045.625,101787.7344,296.798584,-0.6434448
-74.05747315,42.00485975,9,0.0160113,657423616,0.0352925,102079.9688,100766.6094,295.8563538,-0.2667938
-74.01747315,40.72485975,12,0.031455,1186914176,0.0357468,102060.9766,101566.7109,296.1715393,-0.6989745
-74.01747315,40.68485975,12,0.031455,1186914176,0.035759,102060.9766,101566.7109,296.1715393,-0.6989745
-74.01747315,40.48485975,13,0.0350783,1324960896,0.0357742,102057.1484,101695.125,296.556488,-0.7196642
